Year,ET
18-Jun,75.6548464
18-Jul,89.66008088
18-Aug,83.52743266
18-Sep,71.09775468
18-Oct,48.54570875
18-Nov,21.4019894
18-Dec,17.51467362
19-Jan,29.98497743
19-Feb,37.88598464
19-Mar,31.57917409
19-Apr,31.18366702
19-May,35.86982148
19-Jun,59.24807193
19-Jul,95.04352985
19-Aug,96.15893706
19-Sep,85.60766178
19-Oct,66.85908618
19-Nov,38.52284327
19-Dec,28.10869622
20-Jan,19.17156011
20-Feb,14.47206484
20-Mar,24.98382298
20-Apr,37.99978827
20-May,51.6844208
20-Jun,71.05009962
20-Jul,55.36124309
20-Aug,104.1461533
20-Sep,89.51235163
20-Oct,71.59245043
20-Nov,33.12441602
20-Dec,17.71907303
21-Jan,20.10873293
21-Feb,14.67757173
21-Mar,24.33588401
21-Apr,28.99978191
21-May,52.14533705
21-Jun,79.67890708
21-Jul,69.53777227
